English Name,Arabic Name,Employee Number
Bader bin Ahmed bin Ibrahim Al Dhaheri,بدر بن أحمد بن إبراهيم الظاهري,71926770
Tahnoun bin Ahmed bin Rashid Al Aryani,طحنون بن أحمد بن راشد العرياني,50855879
Ahmed bin Ali bin Nasser Al Mansoori,أحمد بن علي بن ناصر المنصوري,23446177
Abdullah bin Omar bin Hassan Al Qubaisi,عبدالله بن عمر بن حسن القبيسي,79743245
Marwan bin Fahad bin Majid Al Balooshi,مروان بن فهد بن ماجد البلوشي,92741854
Tahnoun bin Saeed bin Eisa Al Mazrouei,طحنون بن سعيد بن عيسى المزروعي,51743849
Hazza bin Jassim bin Abdullah Al Hammadi,هزاع بن جاسم بن عبدالله الحمادي,29695725
Omar bin Abdullah bin Khalid Al Suwaidi,عمر بن عبدالله بن خالد السويدي,30914708
Salem bin Mansour bin Rashid Al Mazrouei,سالم بن منصور بن راشد المزروعي,20923625
Jassim bin Zayed bin Ibrahim Al Muhairi,جاسم بن زايد بن إبراهيم المهيري,67870551
Fahad bin Abdulmajeed bin Sultan Al Rumaithi,فهد بن عبدالمجيد بن سلطان الرميثي,24282111
Mansour bin Mansour bin Saeed Al Mazrouei,منصور بن منصور بن سعيد المزروعي,39312464
Omar bin Abdullah bin Khalifa Al Mualla,عمر بن عبدالله بن خليفة المعلا,45450211
Eisa bin Jassim bin Tariq Al Nahyan,عيسى بن جاسم بن طارق آل نهيان,76911312
Eisa bin Ghanem bin Khalifa Al Aryani,عيسى بن غانم بن خليفة العرياني,32237670
Abdullah bin Fahad bin Marwan Al Dhaheri,عبدالله بن فهد بن مروان الظاهري,86986196
Majid bin Khalid bin Majid Al Shehhi,ماجد بن خالد بن ماجد الشحي,37195138
Majid bin Rashid bin Ali Al Mansoori,ماجد بن راشد بن علي المنصوري,94166740
Hazza bin Hamdan bin Hazza Al Marri,هزاع بن حمدان بن هزاع المري,12449528
